Sub Topic,Question,Answer
The Actinoids,"Compare the general characteristics of the first series of the transition metals with those of the second and  third series metals in the respective vertical columns. Give special emphasis on the following points:  (i) electronic configurations,  (ii) oxidation states,        (iii) ionisation enthalpies, and  (iv) atomic sizes.","(i) In the 1st, 2ndand 3rdtransition series, the 3d, 4d and 5dorbitals are respectively filled.  We know that elements in the same vertical column generally have similar electronic configurations.  In the first transition series, two elements show unusual electronic configurations:    Similarly, there are exceptions in the second transition series. These are:      There are some exceptions in the third transition series as well. These are:    As a result of these exceptions, it happens many times that the electronic configurations of the elements present in  the same group are dissimilar.  (ii) In each of the three transition series the number of oxidation states shown by the elements is the maximum in the  middle and the minimum at the extreme ends.  However, +2 and +3 oxidation states are quite stable for all elements present in the first transition series. All metals  present in the first transition series form stable compounds in the +2 and +3 oxidation states. The stability of the +2  and +3 oxidation states decreases in the second and the third transition series, wherein higher oxidation states are  more important.  For example  are stable complexes, but no such complexes  are known for the second and third transition series such as Mo, W, Rh, In. They form complexes in which their  oxidation states are high. For example: WCl6, ReF7, RuO4, etc.  (iii) In each of the three transition series, the first ionisation enthalpy increases from left to right. However, there are  some exceptions. The first ionisation enthalpies of the third transition series are higher than those of the first and  second transition series. This occurs due to the poor shielding effect of 4felectrons in the third transition series.        Certain elements in the second transition series have higher first ionisation enthalpies than elements corresponding  to the same vertical column in the first transition series. There are also elements in the 2ndtransition series whose first  ionisation enthalpies are lower than those of the elements corresponding to the same vertical column in the  1sttransition series.  (iv) Atomic size generally decreases from left to right across a period. Now, among the three transition series, atomic  sizes of the elements in the second transition series are greater than those of the elements corresponding to the  same vertical column in the first transition series. However, the atomic sizes of the elements in the third transition  series are virtually the same as those of the corresponding members in the second transition series. This is due to  lanthanoid contraction."
The Actinoids,"Write down the number of 3d electrons in each of the following ions:  Ti2+, V2+, Cr3+, Mn2+, Fe2+, Fe3+, CO2+, Ni2+ and Cu2+.  Indicate how would you expect the five 3d orbitals to be occupied for these hydrated ions (octahedral).",Metal ion  Number of d-electrons  Filling of d-orbitals  Ti2+  2    V2+  3    Cr3+  3    Mn2+  5    Fe2+  6    Fe3+  5    CO2+  7    Ni2+  8    Cu2+  9
The Actinoids,Comment on the statement that elements of the first transition series possess many properties different from  those of heavier transition elements.    ,"The properties of the elements of the first transition series differ from those of the heavier transition elements in many  ways.  (i) The atomic sizes of the elements of the first transition series are smaller than those of the heavier elements  (elements of 2ndand 3rdtransition series).  However, the atomic sizes of the elements in the third transition series are virtually the same as those of the  corresponding members in the second transition series. This is due to lanthanoid contraction.  (ii) +2 and +3 oxidation states are more common for elements in the first transition series, while higher oxidation  states are more common for the heavier elements.  (iii) The enthalpies of atomisation of the elements in the first transition series are lower than those of the  corresponding elements in the second and third transition series.  (iv) The melting and boiling points of the first transition series are lower than those of the heavier transition elements.  This is because of the occurrence of stronger metallic bonding (M-M bonding).  (v) The elements of the first transition series form low-spin or high-spin complexes depending upon the strength of  the ligand field. However, the heavier transition elements form only low-spin complexes, irrespective of the strength of  the ligand field."
The Actinoids,What can be inferred from the magnetic moment values of the following complex species?  Example Magnetic Moment (BM)  K4[Mn(CN)6] 2.2  [Fe(H2O)6]2+ 5.3  K2[MnCl4] 5.9,"Magnetic moment ( ) is given as .  For value n = 1,  .  For value n = 2,  .  For value n = 3,  .  For value n = 4,  .  For value n = 5,  .  (i) K4[Mn(CN)6]        For in transition metals, the magnetic moment is calculated from the spin-only formula. Therefore,    We can see from the above calculation that the given value is closest to . Also, in this complex, Mn is in the +2  oxidation state. This means that Mn has 5 electrons in the d-orbital.  Hence, we can say that CN - is a strong field ligand that causes the pairing of electrons.  (ii) [Fe(H2O)6]2+    We can see from the above calculation that the given value is closest to . Also, in this complex, Fe is in the +2  oxidation state. This means that Fe has 6 electrons in the d-orbital.  Hence, we can say that H2O is a weak field ligand and does not cause the pairing of electrons.  (iii) K2[MnCl4]    We can see from the above calculation that the given value is closest to . Also, in this complex, Mn is in the +2  oxidation state. This means that Mn has 5 electrons in the d-orbital.  Hence, we can say that Cl - is a weak field ligand and does not cause the pairing of electrons."
Werner’s Theory of Coordination Compounds,"Write the formulas for the following coordination compounds:  (i) Tetraamminediaquacobalt(III) chloride  (ii) Potassium tetracyanonickelate(II)  (iii) Tris(ethane-1,2-diamine) chromium(III) chloride  (iv) Amminebromidochloridonitrito-N-platinate(II)  (v) Dichloridobis(ethane-1,2-diamine)platinum(IV) nitrate  (vi) Iron(III) hexacyanoferrate(II)",(i)    (ii)    (iii)    (vi)    (v)    (vi)
Werner’s Theory of Coordination Compounds,Write the IUPAC names of the following coordination compounds:  (i) [Co(NH3)6]Cl3  (ii) [Co(NH3)5Cl]Cl2  (iii) K3[Fe(CN)6]  (iv) K3[Fe(C2O4)3]  (v) K2[PdCl4]  (vi) [Pt(NH3)2Cl(NH2CH3)]Cl    ,(i) Hexaamminecobalt(III) chloride  (ii) Pentaamminechloridocobalt(III) chloride  (iii) Potassium hexacyanoferrate(III)  (iv) Potassium trioxalatoferrate(III)  (v) Potassium tetrachloridopalladate(II)  (vi) Diamminechlorido(methylamine)platinum(II) chloride
Werner’s Theory of Coordination Compounds,Indicate the types of isomerism exhibited by the following complexes and  draw the structures for these isomers:  i.  K[Cr(H2O)2(C2O4)2  ii.  [Co(en)3]Cl3  iii.  [Co(NH3)5(NO2)](NO3)2  iv.  [Pt(NH3)(H2O)Cl2],"i.  Both geometrical (cis-, trans-) isomers for   can exist. Also, optical isomers for cis-isomer  exist.    Trans-isomer is optically inactive. On the other hand, cis-isomer is optically active.    (ii) Two optical isomers for   exist.          Two optical isomers are possible for this structure.    (iii)    A pair of optical isomers:    It can also show linkage isomerism.  and   It can also show ionization isomerism.    (iv) Geometrical (cis-, trans-) isomers of   can exist."
Definitions of Some Important Terms,Give evidence that [Co(NH3)5Cl]SO4 and [Co(NH3)5SO4]Cl are ionization isomers.,"When ionization isomers are dissolved in water, they ionize to give different ions. These ions then react differently  with different reagents to give different products."
Definitions of Some Important Terms,Explain on the basis of valence bond theory that [Ni(CN)4]2- ion with square  planar structure is diamagnetic and the [NiCl4]2- ion with tetrahedral geometry is paramagnetic.,"Ni is in the +2 oxidation state i.e., in d8 configuration.    There are 4 CN- ions. Thus, it can either have a tetrahedral geometry or square planar geometry. Since CN- ion is a  strong field ligand, it causes the pairing of unpaired 3d electrons.    It now undergoes dsp2 hybridization. Since all electrons are paired, it is diamagnetic.  In case of [NiCl4]2-, Cl- ion is a weak field ligand. Therefore, it does not lead to the pairing of unpaired 3d electrons.  Therefore, it undergoes sp3 hybridization.    Since there are 2 unpaired electrons in this case, it is paramagnetic in nature."
Definitions of Some Important Terms,[NiCl4]2- is paramagnetic while [Ni(CO)4] is diamagnetic though both are tetrahedral. Why?,"Though both [NiCl4]2- and [Ni(CO)4] are tetrahedral, their magnetic characters are different. This is due to a difference  in the nature of ligands. Cl- is a weak field ligand and it does not cause the pairing of unpaired 3d electrons. Hence,  [NiCl4]2-is paramagnetic.    In Ni(CO)4, Ni is in the zero oxidation state i.e., it has a configuration of 3d8 4s2.    But CO is a strong field ligand. Therefore, it causes the pairing of unpaired 3d electrons. Also, it causes the 4s  electrons to shift to the 3d orbital, thereby giving rise to sp3 hybridization. Since no unpaired electrons are present in  this case, [Ni(CO)4] is diamagnetic."
Nomenclature of Coordination Compounds,[Fe(H2O)6]3+ is strongly paramagnetic whereas [Fe(CN)6]3- is weakly paramagnetic. Explain.,"In both  and  , Fe exists in the +3 oxidation state i.e., in d5 configuration.    Since CN - is a strong field ligand, it causes the pairing of unpaired electrons. Therefore, there is only one unpaired  electron left in the d-orbital.    Therefore,    On the other hand, H2O is a weak field ligand. Therefore, it cannot cause the pairing of electrons. This means that the  number of unpaired electrons is 5.  Therefore,          Thus, it is evident that  is strongly paramagnetic, while  is weakly paramagnetic."
Nomenclature of Coordination Compounds,Explain [Co(NH3)6]3+ is an inner orbital complex whereas [Ni(NH3)6]2+ is an outer orbital complex.,"Oxidation state of cobalt = +3  Oxidation state of Ni = +2  Electronic configuration of cobalt = d6  Electronic configuration of nickel = d8    NH3 being a strong field ligand causes the  pairing. Therefore, Cobalt can  undergo d2sp3 hybridization.    Hence, it is an inner orbital complex.    If NH3 causes the pairing, then only one 3d orbital is  empty. Thus, it cannot undergo d2sp3 hybridization.  Therefore, it undergoes sp3d2 hybridization.    Hence, it forms an outer orbital complex."
Nomenclature of Coordination Compounds,Predict the number of unpaired electrons in the square planar [Pt(CN)4]2- ion.,"In this complex, Pt is in the +2 state. It forms a square planar structure. This means that it undergoes  dsp2 hybridization. Now, the electronic configuration of Pd(+2) is 5d8.          CN - being a strong field ligand causes the pairing of unpaired electrons. Hence, there are no unpaired electrons in"
Isomerism in Coordination Compounds,"The hexaquo manganese(II) ion contains five unpaired electrons, while the hexacyanoion contains only one  unpaired electron. Explain using Crystal Field Theory.","Mn is in the +2 oxidation state.  Mn is in the +2 oxidation state.  The electronic configuration is d5.  The electronic configuration is d5.  The crystal field is octahedral. Water is a weak field  ligand. Therefore, the arrangement of the electrons  in   is t2g3eg2.  The crystal field is octahedral. Cyanide is a  strong field ligand. Therefore, the arrangement of  the electrons in   is  T2g5eg0.  Hence, hexaaquo manganese (II) ion has five unpaired electrons, while hexacyano ion has only one unpaired  electron."
Werner’s Theory of Coordination Compounds,Explain the bonding in coordination compounds in terms of Werner's postulates.,"Werner's postulates explain the bonding in coordination compounds as follows:  (i) A metal exhibits two types of valencies namely, primary and secondary valencies. Primary valencies are satisfied  by negative ions while secondary valencies are satisfied by both negative and neutral ions.  (In modern terminology, the primary valency corresponds to the oxidation number of the metal ion, whereas the  secondary valency refers to the coordination number of the metal ion.  (ii) A metal ion has a definite number of secondary valencies around the central atom. Also, these valencies project in  a specific direction in the space assigned to the definite geometry of the coordination compound.  (iii) Primary valencies are usually ionizable, while secondary valencies are non-ionizable."
Werner’s Theory of Coordination Compounds,FeSO4 solution mixed with (NH4)2SO4 solution in 1:1 molar ratio gives the test of Fe2+ ion but CuSO4solution  mixed with aqueous ammonia in 1:4 molar ratio does not give the test of Cu2+ ion. Explain why?,"Both the compounds i.e.,  and   fall under the  category of addition compounds with only one major difference i.e., the former is an example of a double salt, while  the latter is a coordination compound.  A double salt is an addition compound that is stable in the solid state but that which breaks up into its constituent ions  in the dissolved state. These compounds exhibit individual properties of their constituents. For  e.g.  breaks into Fe2+, NH4+, and SO4 2 - ions. Hence, it gives a positive test for  Fe2+ ions.  A coordination compound is an addition compound which retains its identity in the solid as well as in the dissolved  state. However, the individual properties of the constituents are lost. This happens  because   does not show the test for Cu2+. The ions present in the solution  of   are   and ."
Werner’s Theory of Coordination Compounds,"Explain with two examples each of the following: coordination entity, ligand, coordination number,  coordination polyhedron, homoleptic and heteroleptic.","(i) Coordination entity:  A coordination entity is an electrically charged radical or species carrying a positive or negative charge. In a  coordination entity, the central atom or ion is surrounded by a suitable number of neutral molecules or negative ions (  called ligands). For example:  = cationic complex  = anionic complex  = neutral complex  (ii) Ligands  The neutral molecules or negatively charged ions that surround the metal atom in a coordination entity or a coordinal  complex are known as ligands. For example, , Cl - , - OH. Ligands are usually polar in nature and  possess at least one unshared pair of valence electrons.  (iii) Coordination number:  The total number of ligands (either neutral molecules or negative ions) that get attached to the central metal atom in  the coordination sphere is called the coordination number of the central metal atom. It is also referred to as its  ligancy.  For example:  (a) In the complex, K2[PtCl6], there as six chloride ions attached to Pt in the coordinate sphere. Therefore, the  coordination number of Pt is 6.  (b) Similarly, in the complex [Ni(NH3)4]Cl2, the coordination number of the central atom (Ni) is 4.  (vi) Coordination polyhedron:  Coordination polyhedrons about the central atom can be defined as the spatial arrangement of the ligands that are  directly attached to the central metal ion in the coordination sphere. For example:  (a)    (b) Tetrahedral          (v) Homoleptic complexes:  These are those complexes in which the metal ion is bound to only one kind of a donor group. For  eg:   etc.  (vi) Heteroleptic complexes:  Heteroleptic complexes are those complexes where the central metal ion is bound to more than one type of a donor  group.  For e.g.:"
Definitions of Some Important Terms,"What is meant by unidentate, didentate and ambidentate ligands? Give two examples for each.","A ligand may contain one or more unshared pairs of electrons which are called the donor sites of ligands. Now,  depending on the number of these donor sites, ligands can be classified as follows:  (a) Unidentate ligands: Ligands with only one donor sites are called unidentate ligands. For e.g.,  , Cl - etc.  (b) Didentate ligands: Ligands that have two donor sites are called didentate ligands. For e.g.,  (a) Ethane-1,2-diamine    (b) Oxalate ion    (c) Ambidentate ligands:  Ligands that can attach themselves to the central metal atom through two different atoms are called ambidentate  ligands. For example:        (a)    (The donor atom is N)    (The donor atom is oxygen)  (b)    (The donor atom is S)    (The donor atom is N)"
Definitions of Some Important Terms,Specify the oxidation numbers of the metals in the following coordination entities:  (i) [Co(H2O)(CN)(en)2]2+  (ii) [CoBr2(en)2]+  (iii) [PtCl4]2-  (iv) K3[Fe(CN)6]  (v) [Cr(NH3)3Cl3],(i)    Let the oxidation number of Co be x.  The charge on the complex is +2.          (ii)    Let the oxidation number of Pt be x.  The charge on the complex is - 2.    x + 4( - 1) = - 2  x = + 2    (iv)
Definitions of Some Important Terms,Using IUPAC norms write the formulas for the following:  (i) Tetrahydroxozincate(II)  (ii) Potassium tetrachloridopalladate(II)  (iii) Diamminedichloridoplatinum(II)  (iv) Potassium tetracyanonickelate(II)        (v) Pentaamminenitrito-O-cobalt(III)  (vi) Hexaamminecobalt(III) sulphate  (vii) Potassium tri(oxalato)chromate(III)  (viii) Hexaammineplatinum(IV)  (ix) Tetrabromidocuprate(II)  (x) Pentaamminenitrito-N-cobalt(III),(i) [Zn(OH)4]2-  (ii) K2[PdCl4]  (iii) [Pt(NH3)2Cl2]  (iv) K2[Ni(CN)4]  (v) [Co(ONO) (NH3)5]2+  (vi) [Co(NH3)6]2 (SO4)3  (vii) K3[Cr(C2O4)3]  (viii) [Pt(NH3)6]4+  (ix) [Cu(Br)4]2-  (x) [Co[NO2)(NH3)5]2+
Nomenclature of Coordination Compounds,Using IUPAC norms write the systematic names of the following:  (i) [Co(NH3)6]Cl3  (ii) [Pt(NH3)2Cl(NH2CH3)]Cl  (iii) [Ti(H2O)6]3+  (iv) [Co(NH3)4Cl(NO2)]Cl  (v) [Mn(H2O)6]2+  (vi) [NiCl4]2-  (vii) [Ni(NH3)6]Cl2  (viii) [Co(en)3]3+  (ix) [Ni(CO)4],"(i) Hexaamminecobalt(III) chloride  (ii) Diamminechlorido(methylamine) platinum(II) chloride        (iii) Hexaquatitanium(III) ion  (iv) Tetraamminichloridonitrito-N-Cobalt(III) chloride  (v) Hexaquamanganese(II) ion  (vi) Tetrachloridonickelate(II) ion  (vii) Hexaamminenickel(II) chloride  (viii) Tris(ethane-1, 2-diammine) cobalt(III) ion  (ix) Tetracarbonylnickel(0)"
Nomenclature of Coordination Compounds,"List various types of isomerism possible for coordination compounds, giving an example of each.","(a) Geometric isomerism:  This type of isomerism is common in heteroleptic complexes. It arises due to the different possible geometric  arrangements of the ligands. For example:    (b) Optical isomerism:  This type of isomerism arises in chiral molecules. Isomers are mirror images of each other and are non- superimposable.          (c) Linkage isomerism: This type of isomerism is found in complexes that contain ambidentate ligands. For  example:  [Co(NH3)5 (NO2)]Cl2 and [Co(NH3)5 (ONO)Cl2  Yellow form Red form  (d) Coordination isomerism:  This type of isomerism arises when the ligands are interchanged between cationic and anionic entities of differnet  metal ions present in the complex.  [Co(NH3)6] [Cr(CN)6] and [Cr(NH3)6] [Co(CN)6]  (e) Ionization isomerism:  This type of isomerism arises when a counter ion replaces a ligand within the coordination sphere. Thus, complexes  that have the same composition, but furnish different ions when dissolved in water are called ionization isomers. For  e.g., Co(NH3)5SO4)Br and Co(NH3)5Br]SO4.  (f) Solvate isomerism:  Solvate isomers differ by whether or not the solvent molecule is directly bonded to the metal ion or merely present as  a free solvent molecule in the crystal lattice.  [Cr[H2O)6]Cl3 [Cr(H2O)5Cl]Cl2Ã¢”¹”¦H2O [Cr(H2O)5Cl2]ClÃ¢”¹”¦2H2O  Violet Blue-green Dark green"
Nomenclature of Coordination Compounds,How many geometrical isomers are possible in the following coordination entities?  (i) [Cr(C2O4)3]3- (ii) [Co(NH3)3Cl3],"(i) For [Cr(C2O4)3]3-, no geometric isomer is possible as it is a bidentate ligand.          (ii) [Co(NH3)3Cl3]  Two geometrical isomers are possible."
Isomerism in Coordination Compounds,"Aqueous copper sulphate solution (blue in colour) gives:  (i) a green precipitate with aqueous potassium fluoride, and  (ii) a bright green solution with aqueous potassium chloride  Explain these experimental results.","Aqueous CuSO4 exists as [Cu(H2O)4]SO4. It is blue in colour due to the presence of  [Cu[H2O)4]2+ ions.  (i) When KF is added:          (ii) When KCl is added:    In both these cases, the weak field ligand water is replaced by the F - and Cl - ions."
Bonding in Coordination Compounds,What is the coordination entity formed when excess of aqueous KCN is added to an aqueous solution of  copper sulphate? Why is it that no precipitate of copper sulphide is obtained when H2S(g) is passed through  this solution?,"i.e.,    Thus, the coordination entity formed in the process is K2[Cu(CN)4].   is a very stable complex,  which does not ionize to give Cu2+ ions when added to water. Hence, Cu2+ ions are not precipitated when H2S(g)is  passed through the solution."
Bonding in Coordination Compounds,Discuss the nature of bonding in the following coordination entities on the basis of valence bond theory:  (i) [Fe(CN)6]4-  (ii) [FeF6]3-  (iii) [Co(C2O4)3]3-  (iv) [CoF6]3-,"(i) [Fe(CN)6]4-  In the above coordination complex, iron exists in the +II oxidation state.  Fe2+ : Electronic configuration is 3d6  Orbitals of Fe2+ ion:          As CN- is a strong field ligand, it causes the pairing of the unpaired 3d electrons.    Since there are six ligands around the central metal ion, the most feasible hybridization is d2sp3.  d2sp3 hybridized orbitals of Fe2+ are:    6 electron pairs from CN- ions occupy the six hybrid d2sp3orbitals.  Then,    Hence, the geometry of the complex is octahedral and the complex is diamagnetic (as there are no unpaired  electrons).  (ii) [FeF6]3-  In this complex, the oxidation state of Fe is +3.  Orbitals of Fe+3 ion:    There are 6 F- ions. Thus, it will undergo d2sp3 or sp3d2 hybridization. As F- is a weak field ligand, it does not cause the  pairing of the electrons in the 3d orbital. Hence, the most feasible hybridization is sp3d2.  sp3d2 hybridized orbitals of Fe are:      Hence, the geometry of the complex is found to be octahedral.  (iii) [Co(C2O4)3]3-  Cobalt exists in the +3 oxidation state in the given complex.        Orbitals of Co3+ ion:    Oxalate is a weak field ligand. Therefore, it cannot cause the pairing of the 3d orbital electrons. As there are 6  ligands, hybridization has to be either sp3d2 or d2sp3 hybridization.  sp3d2 hybridization of Co3+:    The 6 electron pairs from the 3 oxalate ions (oxalate anion is a bidentate ligand) occupy these sp3d2 orbitals.    Hence, the geometry of the complex is found to be octahedral.  (iv) [CoF6]3-  Cobalt exists in the +3 oxidation state.  Orbitals of Co3+ ion:    Again, fluoride ion is a weak field ligand. It cannot cause the pairing of the 3d electrons. As a result, the Co3+ ion will  undergo sp3d2 hybridization.  sp3d2 hybridized orbitals of Co3+ ion are:"
Bonding in Coordination Compounds,Draw figure to show the splitting of d orbitals in an octahedral crystal field.,"The splitting of the d orbitals in an octahedral field takes palce in such a way that  ,   experience a rise in  energy and form the eglevel, while dxy, dyzand dzx experience a fall in energy and form the t2g level."
Bonding in Coordination Compounds,What is spectrochemical series? Explain the difference between a weak field ligand and a strong field ligand.,"A spectrochemical series is the arrangement of common ligands in the increasing order of their crystal-field splitting  energy (CFSE) values. The ligands present on the R.H.S of the series are strong field ligands while that on the L.H.S  are weak field ligands. Also, strong field ligands cause higher splitting in the d orbitals than weak field ligands.  I- < Br- < S2- < SCN- < Cl-< N3 < F- < OH- < C2O4 2- ∠Â¼ H2O < NCS- ∠Â¼ H- < CN- < NH3 < en ∠Â¼ SO3 2- < NO2 - < phen  < CO"
Bonding in Metal Carbonyls,What is crystal field splitting energy? How does the magnitude of Δo decide the actual configuration of d- orbitals in a coordination entity?,"The degenerate d-orbitals (in a spherical field environment) split into two levels i.e., eg and t2g in the presence of  ligands. The splitting of the degenerate levels due to the presence of ligands is called the crystal-field splitting while  the energy difference between the two levels (eg and t2g) is called the crystal-field splitting energy. It is denoted by Δo.  After the orbitals have split, the filling of the electrons takes place. After 1 electron (each) has been filled in the  three t2gorbitals, the filling of the fourth electron takes place in two ways. It can enter the eg orbital (giving rise  to t2g 3 eg 1 like electronic configuration) or the pairing of the electrons can take place in the t2g orbitals (giving rise  to t2g 4 eg 0 like electronic configuration). If the Δo value of a ligand is less than the pairing energy (P), then the electrons  enter the egorbital. On the other hand, if the Δo value of a ligand is more than the pairing energy (P), then the  electrons enter the t2gorbital."
Bonding in Metal Carbonyls,[Cr(NH3)6]3+ is paramagnetic while [Ni(CN)4]2- is diamagnetic. Explain why?,"Cr is in the +3 oxidation state i.e., d3 configuration. Also, NH3 is a weak field ligand that does not cause the pairing of  the electrons in the 3d orbital.  Cr3+    Therefore, it undergoes d2sp3 hybridization and the electrons in the 3d orbitals remain unpaired. Hence, it is  paramagnetic in nature.  In [Ni(CN)4]2-, Ni exists in the +2 oxidation state i.e., d8 configuration.  Ni2+:    CN- is a strong field ligand. It causes the pairing of the 3d orbital electrons. Then, Ni2+ undergoes dsp2 hybridization.    As there are no unpaired electrons, it is diamagnetic."
Bonding in Metal Carbonyls,A solution of [Ni(H2O)6]2+ is green but a solution of [Ni(CN)4]2- is colourless. Explain.,"In [Ni(H2O)6]2+,   is a weak field ligand. Therefore, there are unpaired electrons in Ni2+. In this complex,  the delectrons from the lower energy level can be excited to the higher energy level i.e., the possibility of d -  d transition is present. Hence, Ni(H2O)6]2+ is coloured.  In [Ni(CN)4]2 - , the electrons are all paired as CN- is a strong field ligand. Therefore, d-d transition is not possible in  [Ni(CN)4]2 - . Hence, it is colourless."
Bonding in Metal Carbonyls,[Fe(CN)6]4- and [Fe(H2O)6]2+ are of different colours in dilute solutions. Why?,"The colour of a particular coordination compound depends on the magnitude of the crystal-field splitting energy, Δ.  This CFSE in turn depends on the nature of the ligand. In case of [Fe(CN)6]4- and [Fe(H2O)6]2+, the colour differs  because there is a difference in the CFSE. Now, CN- is a strong field ligand having a higher CFSE value as compared  to the CFSE value of water. This means that the absorption of energy for the intra d-d transition also differs. Hence,  the transmitted colour also differs."
Importance and Applications of Coordination Compounds,Discuss the nature of bonding in metal carbonyls.,"The metal-carbon bonds in metal carbonyls have both ÃÆ’ and Ãâ‚¬ characters. A ÃÆ’ bond is formed when the  carbonyl carbon donates a lone pair of electrons to the vacant orbital of the metal. A Ãâ‚¬ bond is formed by the  donation of a pair of electrons from the filled metal d orbital into the vacant anti-bonding Ãâ‚¬* orbital (also known as  back bonding of the carbonyl group). The ÃÆ’ bond strengthens the Ãâ‚¬ bond and vice-versa. Thus, a synergic  effect is created due to this metal-ligand bonding. This synergic effect strengthens the bond between CO and the  metal."
Importance and Applications of Coordination Compounds,"Give the oxidation state, d-orbital occupation and coordination number of the central metal ion in the  following complexes:  (i) K3[Co(C2O4)3]  (ii) cis-[Cr(en)2Cl2]Cl  (iii) (NH4)2[CoF4]  (iv) [Mn(H2O)6]SO4",(i) K3[Co(C2O4)3]  The central metal ion is Co.  Its coordination number is 6.  The oxidation state can be given as:  x - 6 = -3        x = + 3  The d orbital occupation for Co3+ is t2g 6eg 0.  (ii) cis-[Cr(en)2Cl2]Cl  The central metal ion is Cr.  The coordination number is 6.  The oxidation state can be given as:  x + 2(0) + 2(-1) = +1  x - 2 = +1  x = +3  The d orbital occupation for Cr3+ is t2g 3.  (iii) (NH4)2[CoF4]  The central metal ion is Co.  The coordination number is 4.  The oxidation state can be given as:  x - 4 = -2  x = + 2  The d orbital occupation for Co2+ is eg 4 t2g 3.  (iv) [Mn(H2O)6]SO4  The central metal ion is Mn.  The coordination number is 6.  The oxidation state can be given as:  x + 0 = +2  x = +2  The d orbital occupation for Mn is t2g 3 eg 2.
Importance and Applications of Coordination Compounds,"Write down the IUPAC name for each of the following complexes and indicate the oxidation state, electronic  configuration and coordination number. Also give stereochemistry and magnetic moment of the complex:  (i) K[Cr(H2O)2(C2O4)2].3H2O  (ii) [Co(NH3)5Cl]Cl2  (iii) CrCl3(py)3  (iv) Cs[FeCl4]  (v) K4[Mn(CN)6]    ","(i) Potassium diaquadioxalatochromate (III) trihydrate.  Oxidation state of chromium = 3  Electronic configuration: 3d3: t2g 3  Coordination number = 6  Shape: octahedral  Stereochemistry:        Magnetic moment, ÃŽÂ¼            Ã¢Ë†Â¼ 4BM  (ii) [Co(NH3)5Cl]Cl2  IUPAC name: Pentaamminechloridocobalt(III) chloride  Oxidation state of Co = +3  Coordination number = 6  Shape: octahedral.  Electronic configuration: d6: t2g 6.  Stereochemistry:    Magnetic Moment = 0  (iii) CrCl3(py)3  IUPAC name: Trichloridotripyridinechromium (III)  Oxidation state of chromium = +3  Electronic configuration for d3 = t2g 3  Coordination number = 6  Shape: octahedral.  Stereochemistry:    Both isomers are optically active. Therefore, a total of 4 isomers exist.  Magnetic moment, ÃŽÂ¼            Ã¢Ë†Â¼ 4BM  (iv) Cs[FeCl4]  IUPAC name: Caesium tetrachloroferrate (III)  Oxidation state of Fe = +3  Electronic configuration of d6 = eg 2t2g 3  Coordination number = 4  Shape: tetrahedral  Stereochemistry: optically inactive  Magnetic moment:  ÃŽÂ¼      (v) K4[Mn(CN)6]  Potassium hexacyanomanganate(II)  Oxidation state of manganese = +2  Electronic configuration: d5+: t2g 5  Coordination number = 6  Shape: octahedral.  Streochemistry: optically inactive  Magnetic moment, ÃŽÂ¼"
Importance and Applications of Coordination Compounds,What is meant by stability of a coordination compound in solution? State the factors which govern stability  of complexes.,"The stability of a complex in a solution refers to the degree of association between the two species involved in a state  of equilibrium. Stability can be expressed quantitatively in terms of stability constant or formation constant.      For this reaction, the greater the value of the stability constant, the greater is the proportion of ML3 in the solution.  Stability can be of two types:  (a) Thermodynamic stability:  The extent to which the complex will be formed or will be transformed into another species at the point of equilibrium  is determined by thermodynamic stability.  (b) Kinetic stability:  This helps in determining the speed with which the transformation will occur to attain the state of equilibrium.  Factors that affect the stability of a complex are:  (a) Charge on the central metal ion: Thegreater the charge on the central metal ion, the greater is the stability of  the complex.  2.  Basic nature of the ligand: A more basic ligand will form a more stable complex.  2.  Presence of chelate rings: Chelation increases the stability of complexes."
Importance and Applications of Coordination Compounds,What is meant by the chelate effect? Give an example.,"When a ligand attaches to the metal ion in a manner that forms a ring, then the metal- ligand association is found to  be more stable. In other words, we can say that complexes containing chelate rings are more stable than complexes  without rings. This is known as the chelate effect.  For example:"
Importance and Applications of Coordination Compounds,Discuss briefly giving an example in each case the role of coordination compounds in:  (i) biological system  (ii) medicinal chemistry  (iii) analytical chemistry  (iv) extraction/metallurgy of metals,"(i) Role of coordination compounds in biological systems:  We know that photosynthesis is made possible by the presence of the chlorophyll pigment. This pigment is a  coordination compound of magnesium. In the human biological system, several coordination compounds play  important roles. For example, the oxygen-carrier of blood, i.e., haemoglobin, is a coordination compound of iron.  (ii) Role of coordination compounds in medicinal chemistry:  Certain coordination compounds of platinum (for example, cis-platin) are used for inhibiting the growth of tumours.  (iii) Role of coordination compounds in analytical chemistry:  During salt analysis, a number of basic radicals are detected with the help of the colour changes they exhibit with  different reagents. These colour changes are a result of the coordination compounds or complexes that the basic  radicals form with different ligands.  (iii) Role of coordination compounds in extraction or metallurgy of metals:  The process of extraction of some of the metals from their ores involves the formation of complexes. For example, in  aqueous solution, gold combines with cyanide ions to form [Au(CN)2]. From this solution, gold is later extracted by the  addition of zinc metal."
Importance and Applications of Coordination Compounds,How many ions are produced from the complex Co(NH3)6Cl2 in solution?  (i) 6  (ii) 4  (iii) 3  (iv) 2    ,"(iii) The given complex can be written as [Co(NH3)6]Cl2.  Thus, [Co(NH3)6]+ along with two Cl- ions are produced."
